Para tornar o padrão do ataque menos evidente para o Random Forest, considere as seguintes variações graduais nos parâmetros do JSON:

- **Aumentar a probabilidade de ocorrência do fault** (`fault.prob`) para que mais mensagens contenham a falha, reduzindo a distinção entre tráfego normal e ataque.
- **Elevar o intervalo de duração** (`fault.durationMs.min` e `fault.durationMs.max`) para que as falhas se estendam por períodos mais longos, aproximando‑se dos tempos típicos de operação.
- **Modificar o `cbStatus`** para um valor menos frequente nos dados normais, mas ainda plausível dentro do contexto da sub‑estação.
- **Desativar o incremento do `stNum`** (`incrementStNumOnFault`) para que o número de sequência não revele imediatamente a presença de falhas.
- **Alterar o modo de geração de `sqnum`** (`sqnumMode`) de “random” para “sequential”, de modo que a sequência pareça mais natural.
- **Expandir o conjunto de TTLs** (`ttlMsValues`) incluindo valores intermediários, dificultando a identificação de padrões fixos.
- **Ajustar os limites de variação analógica** (`analog.deltaAbs.min` e `analog.deltaAbs.max`) para que as mudanças analógicas estejam dentro de faixas mais amplas, mas ainda realistas.
- **Reduzir levemente o multiplicador máximo de `trapArea`** e estreitar o intervalo, de forma que o impacto visual nas áreas de captura seja menos pronunciado.
- **Diminuir a probabilidade de picos de `trapArea`** (`trapArea.spikeProb`) para que ocorram menos eventos de pico súbitos, tornando o comportamento mais homogêneo.

Essas alterações mantêm a plausibilidade do tráfego GOOSE enquanto introduzem variações que podem confundir o classificador, potencialmente reduzindo o f1‑score do ataque.

ALTERACOES_APLICAVEIS
fault.prob: 0.6
fault.durationMs.min: 150
fault.durationMs.max: 1200
cbStatus: 2
incrementStNumOnFault: false
sqnumMode: sequential
ttlMsValues: [30, 60, 90]
analog.deltaAbs.min: 0.3
analog.deltaAbs.max: 0.7
trapArea.multiplier.min: 1.3
trapArea.multiplier.max: 1.5
trapArea.spikeProb: 0.3
