iteration,field,previous_value,current_value
1,analog.deltaAbs.max,0.8,0.9
1,fault.prob,0.6,0.4
1,trapArea.multiplier.max,2.5,3.0
1,trapArea.spikeProb,0.5,0.3
2,fault.durationMs.max,800,600
2,fault.durationMs.min,50,30
2,fault.prob,0.4,0.3
2,trapArea.multiplier.max,3.0,1.8
2,trapArea.multiplier.min,1.2,1.0
3,analog.deltaAbs.max,0.9,0.5
3,fault.prob,0.3,0.4
3,trapArea.multiplier.max,1.8,1.5
4,analog.deltaAbs.max,0.5,0.6
4,fault.durationMs.max,600,720
4,fault.durationMs.min,30,45
4,fault.prob,0.4,0.35
4,trapArea.multiplier.max,1.5,1.8
4,trapArea.spikeProb,0.3,0.4
5,analog.deltaAbs.max,0.6,0.7
5,fault.durationMs.min,45,60
5,fault.prob,0.35,0.3
5,sqnumMode,fast,slow
5,trapArea.multiplier.max,1.8,2.0
5,trapArea.spikeProb,0.4,0.2
6,analog.deltaAbs.max,0.7,0.6
6,fault.durationMs.max,720,900
6,fault.prob,0.3,0.35
6,trapArea.multiplier.max,2.0,1.25
6,trapArea.spikeProb,0.2,0.25
7,analog.deltaAbs.max,0.6,0.5
7,fault.prob,0.35,0.4
7,trapArea.multiplier.max,1.25,1.5
7,trapArea.spikeProb,0.25,0.3
8,analog.deltaAbs.max,0.5,0.6
8,fault.durationMs.min,60,30
8,trapArea.multiplier.max,1.5,1.25
9,analog.deltaAbs.max,0.6,0.5
9,fault.durationMs.max,900,600
9,trapArea.multiplier.max,1.25,1.5
10,fault.durationMs.min,30,10
10,fault.prob,0.4,0.6
10,trapArea.multiplier.max,1.5,2.0
10,trapArea.spikeProb,0.3,0.2
11,fault.durationMs.min,10,20
11,fault.prob,0.6,0.5
11,sqnumMode,slow,fast
11,trapArea.multiplier.max,2.0,2.5
12,analog.deltaAbs.max,0.5,0.6
12,fault.prob,0.5,0.4
12,trapArea.multiplier.max,2.5,3.0
13,analog.deltaAbs.max,0.6,0.7
13,fault.durationMs.min,20,30
13,fault.prob,0.4,0.5
13,trapArea.multiplier.max,3.0,2.0
13,trapArea.spikeProb,0.2,0.4
14,analog.deltaAbs.max,0.7,0.8
14,fault.durationMs.max,600,900
14,fault.durationMs.min,30,60
14,fault.prob,0.5,0.4
14,trapArea.multiplier.max,2.0,2.5
14,trapArea.spikeProb,0.4,0.3
15,analog.deltaAbs.max,0.8,0.5
15,fault.prob,0.4,0.3
15,trapArea.multiplier.max,2.5,1.25
15,trapArea.spikeProb,0.3,0.4
16,analog.deltaAbs.min,0.2,0.3
16,fault.durationMs.max,900,1200
16,fault.prob,0.3,0.5
16,sqnumMode,fast,slow
16,trapArea.multiplier.min,1.0,1.2
16,trapArea.spikeProb,0.4,0.6
17,analog.deltaAbs.max,0.5,0.6
17,fault.prob,0.5,0.4
17,trapArea.multiplier.max,1.25,1.5
17,trapArea.spikeProb,0.6,0.3
18,analog.deltaAbs.max,0.6,0.55
18,fault.durationMs.max,1200,1500
18,fault.durationMs.min,60,90
18,fault.prob,0.4,0.35
18,trapArea.multiplier.max,1.5,1.6
18,trapArea.spikeProb,0.3,0.35
19,analog.deltaAbs.max,0.55,0.6
19,fault.prob,0.35,0.45
19,trapArea.multiplier.max,1.6,1.7
19,trapArea.spikeProb,0.35,0.25
20,analog.deltaAbs.max,0.6,0.5
20,fault.prob,0.45,0.4
20,trapArea.multiplier.max,1.7,1.5
20,trapArea.spikeProb,0.25,0.3
21,fault.durationMs.max,1500,2500
21,fault.prob,0.4,0.6
21,trapArea.multiplier.max,1.5,1.8
21,trapArea.spikeProb,0.3,0.5
22,fault.durationMs.max,2500,2000
22,fault.durationMs.min,90,100
22,fault.prob,0.6,0.5
22,trapArea.multiplier.max,1.8,1.5
22,trapArea.multiplier.min,1.2,1.0
22,trapArea.spikeProb,0.5,0.2
23,analog.deltaAbs.max,0.5,0.6
23,fault.prob,0.5,0.6
23,trapArea.multiplier.max,1.5,1.8
23,trapArea.spikeProb,0.2,0.4
24,fault.durationMs.min,100,50
24,fault.prob,0.6,0.5
24,trapArea.multiplier.max,1.8,1.25
24,trapArea.spikeProb,0.4,0.2
25,analog.deltaAbs.max,0.6,0.7
25,fault.durationMs.min,50,100
25,fault.prob,0.5,0.6
25,trapArea.multiplier.max,1.25,1.3
25,trapArea.spikeProb,0.2,0.4
26,analog.deltaAbs.max,0.7,0.5
26,fault.durationMs.min,100,200
26,fault.prob,0.6,0.5
26,trapArea.multiplier.max,1.3,1.5
26,trapArea.spikeProb,0.4,0.3
27,analog.deltaAbs.max,0.5,0.6
27,fault.durationMs.max,2000,2500
27,fault.prob,0.5,0.4
27,trapArea.multiplier.max,1.5,2.0
28,analog.deltaAbs.max,0.6,0.7
28,fault.durationMs.max,2500,3000
28,fault.prob,0.4,0.35
28,trapArea.multiplier.max,2.0,2.2
28,trapArea.spikeProb,0.3,0.2
29,analog.deltaAbs.max,0.7,0.8
29,fault.prob,0.35,0.45
29,trapArea.multiplier.max,2.2,2.5
29,trapArea.spikeProb,0.2,0.25
30,analog.deltaAbs.max,0.8,0.5
30,fault.prob,0.45,0.4
30,trapArea.multiplier.max,2.5,1.5
30,trapArea.spikeProb,0.25,0.3
