Para dificultar a classificação do ataque cibernético do tipo Masquerade pelo Sistema de Detecção de Intrusão (IDS) com classificador Random Forest, é necessário realizar ajustes nos parâmetros do arquivo JSON que afetam a geração do ataque. Considerando as métricas atuais e as características do modelo, as sugestões de mudanças graduais e plausíveis para reduzir a separabilidade do ataque em relação ao tráfego normal são:

ALTERACOES_APLICAVEIS
fault.prob: 0.4
analog.deltaAbs.max: 0.5
trapArea.multiplier.max: 1.5
trapArea.spikeProb: 0.3
ttlMsValues: 90
cbStatus: 4
sqnumMode: low
incrementStNumOnFault: False
fault.durationMs.min: 45
fault.durationMs.max: 800
analog.deltaAbs.min: 0.1
