iteration,field,previous_value,current_value
1,analog.deltaAbs.max,0.8,0.5
1,fault.durationMs.min,50,100
1,fault.prob,0.6,0.4
1,trapArea.multiplier.max,2.5,2.0
1,trapArea.spikeProb,0.5,0.3
2,analog.deltaAbs.max,0.5,0.4
2,fault.durationMs.max,800,700
2,fault.durationMs.min,100,200
2,fault.prob,0.4,0.3
2,sqnumMode,fast,random
2,trapArea.multiplier.max,2.0,1.8
2,ttlMsValues,,20
2,ttlMsValues[0],20,
2,ttlMsValues[1],40,
2,ttlMsValues[2],80,
5,analog.deltaAbs.max,0.4,0.32000000000000006
5,analog.deltaAbs.min,0.2,0.1
5,fault.prob,0.3,0.5
5,trapArea.multiplier.max,1.8,1.5
5,trapArea.multiplier.min,1.2,1.0
6,analog.deltaAbs.max,0.32000000000000006,0.4
6,fault.durationMs.max,700,800
6,fault.durationMs.min,200,150
6,fault.prob,0.5,0.4
6,trapArea.multiplier.max,1.5,1.6
6,trapArea.spikeProb,0.3,0.25
7,analog.deltaAbs.max,0.4,0.48
7,fault.prob,0.4,0.32
7,trapArea.multiplier.max,1.6,1.4
7,trapArea.spikeProb,0.25,0.2
8,analog.deltaAbs.max,0.48,0.4
8,analog.deltaAbs.min,0.1,0.05
8,fault.prob,0.32,0.3
8,trapArea.multiplier.max,1.4,1.6
8,trapArea.multiplier.min,1.0,1.1
9,analog.deltaAbs.max,0.4,0.35
9,analog.deltaAbs.min,0.05,0.07
9,fault.durationMs.max,800,1000
9,fault.durationMs.min,150,200
9,fault.prob,0.3,0.35
9,trapArea.multiplier.max,1.6,1.5
9,trapArea.multiplier.min,1.1,1.2
9,ttlMsValues,20,30
10,analog.deltaAbs.max,0.35,0.385
10,fault.durationMs.min,200,240
10,fault.prob,0.35,0.3
10,trapArea.multiplier.max,1.5,1.25
10,trapArea.spikeProb,0.2,0.24
11,analog.deltaAbs.max,0.385,0.4
11,analog.deltaAbs.min,0.07,0.1
11,trapArea.multiplier.max,1.25,1.3
11,trapArea.multiplier.min,1.2,1.15
11,trapArea.spikeProb,0.24,0.2
12,analog.deltaAbs.max,0.4,0.45
12,analog.deltaAbs.min,0.1,0.08
12,cbStatus,1,0
12,fault.durationMs.max,1000,1500
12,fault.durationMs.min,240,200
12,fault.prob,0.3,0.35
12,trapArea.multiplier.max,1.3,1.4
12,trapArea.multiplier.min,1.15,1.1
13,analog.deltaAbs.max,0.45,0.4
13,analog.deltaAbs.min,0.08,0.1
13,fault.durationMs.min,200,150
13,fault.prob,0.35,0.4
13,trapArea.multiplier.max,1.4,1.35
13,trapArea.multiplier.min,1.1,1.05
14,analog.deltaAbs.max,0.4,0.5
14,analog.deltaAbs.min,0.1,0.05
14,fault.durationMs.max,1500,2000
14,fault.durationMs.min,150,100
14,fault.prob,0.4,0.3
14,trapArea.multiplier.max,1.35,1.4
14,trapArea.multiplier.min,1.05,1.1
15,analog.deltaAbs.max,0.5,0.45
15,analog.deltaAbs.min,0.05,0.045
15,fault.durationMs.max,2000,2400
15,fault.durationMs.min,100,80
15,trapArea.multiplier.max,1.4,1.54
15,trapArea.multiplier.min,1.1,0.99
16,analog.deltaAbs.max,0.45,0.4
16,analog.deltaAbs.min,0.045,0.05
16,trapArea.multiplier.max,1.54,1.5
16,trapArea.multiplier.min,0.99,0.995
17,analog.deltaAbs.max,0.4,0.5
17,analog.deltaAbs.min,0.05,0.1
17,cbStatus,0,1
17,fault.durationMs.max,2400,2000
17,fault.durationMs.min,80,200
17,fault.prob,0.3,0.35
17,trapArea.multiplier.max,1.5,1.25
18,analog.deltaAbs.max,0.5,0.4
18,fault.prob,0.35,0.3
18,trapArea.multiplier.min,0.995,0.99
19,analog.deltaAbs.max,0.4,0.32000000000000006
19,fault.durationMs.max,2000,2500
19,fault.prob,0.3,0.4
19,ttlMsValues,30,20
20,analog.deltaAbs.max,0.32000000000000006,0.4
20,fault.durationMs.max,2500,2800
20,trapArea.multiplier.min,0.99,0.95
21,analog.deltaAbs.max,0.4,0.6
21,analog.deltaAbs.min,0.1,0.05
21,cbStatus,1,2
21,fault.durationMs.max,2800,3000
21,fault.durationMs.min,200,500
21,fault.prob,0.4,0.45
21,sqnumMode,random,sequential
21,trapArea.multiplier.max,1.25,1.4
21,trapArea.multiplier.min,0.95,0.9
21,trapArea.spikeProb,0.2,0.3
22,analog.deltaAbs.max,0.6,0.45
22,cbStatus,2,1
22,fault.durationMs.min,500,600
22,fault.prob,0.45,0.4
22,trapArea.multiplier.max,1.4,1.25
22,trapArea.multiplier.min,0.9,0.95
22,trapArea.spikeProb,0.3,0.25
22,ttlMsValues,20,30
23,analog.deltaAbs.max,0.45,0.32000000000000006
23,fault.durationMs.max,3000,3500
23,fault.durationMs.min,600,400
23,fault.prob,0.4,0.5
23,sqnumMode,sequential,random
23,trapArea.multiplier.max,1.25,1.3
23,trapArea.spikeProb,0.25,0.2
24,analog.deltaAbs.min,0.05,0.07
24,fault.durationMs.max,3500,2500
24,fault.durationMs.min,400,800
24,fault.prob,0.5,0.4
24,trapArea.multiplier.max,1.3,1.25
24,trapArea.multiplier.min,0.95,1.0
25,analog.deltaAbs.max,0.32000000000000006,0.4
25,analog.deltaAbs.min,0.07,0.1
25,fault.durationMs.max,2500,2000
25,fault.durationMs.min,800,1000
25,fault.prob,0.4,0.3
26,analog.deltaAbs.max,0.4,0.35
26,analog.deltaAbs.min,0.1,0.08
26,fault.durationMs.max,2000,2500
26,fault.durationMs.min,1000,1500
26,fault.prob,0.3,0.35
26,trapArea.multiplier.min,1.0,1.05
27,analog.deltaAbs.max,0.35,0.32000000000000006
27,fault.durationMs.max,2500,3000
27,fault.durationMs.min,1500,1200
27,fault.prob,0.35,0.4
27,trapArea.spikeProb,0.2,0.3
28,analog.deltaAbs.min,0.08,0.07
28,fault.durationMs.max,3000,3500
28,fault.durationMs.min,1200,1500
28,fault.prob,0.4,0.35
28,trapArea.multiplier.min,1.05,1.08
28,trapArea.spikeProb,0.3,0.25
28,ttlMsValues,30,40
29,analog.deltaAbs.min,0.07,0.1
29,fault.prob,0.35,0.4
29,trapArea.multiplier.max,1.25,1.3
29,trapArea.multiplier.min,1.08,1.05
30,analog.deltaAbs.max,0.32000000000000006,0.4
30,analog.deltaAbs.min,0.1,0.05
30,fault.durationMs.max,3500,4000
30,trapArea.multiplier.max,1.3,1.5
30,trapArea.multiplier.min,1.05,1.0
30,trapArea.spikeProb,0.25,0.2
