iteration,evaluation_type,dataset_path,accuracy,precision_masquerade,recall_masquerade,f1_score_masquerade,support_masquerade,attack_count,normal_count,tp,fp,fn,tn,attack_label_original,label_column,dataset_rows,dataset_columns,config_changed,attack_count_ratio_vs_baseline,degenerate_variant
0,baseline_internal_test,outputs/dataset_iteration_0.csv,1.0,1.0,1.0,1.0,8983,8983,15000,8983,0,0,15000,masquerade_fake_fault,class,79942,54,False,1.0,False
1,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
2,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
3,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
4,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
5,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
6,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
7,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
8,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
9,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
10,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
11,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
12,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
13,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
14,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
15,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
16,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
17,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
18,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
19,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
20,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
21,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
22,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
23,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
24,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
25,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
26,variant_external_test,outputs/dataset_iteration_26.csv,0.9999765338089148,1.0,0.999943231812892,0.9999716151007664,35231,35231,49998,35229,0,2,49998,masquerade_fake_fault,class,85229,54,True,3.921963709228543,False
27,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
28,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
29,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
30,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
