Para tornar o ataque de masquerade mais difícil de ser distinguido pelo Random Forest, sugiro ajustes que aumentem a sobreposição entre os padrões de tráfego anômalo e os padrões normais, mantendo a viabilidade do ataque. As alterações propostas são graduais e respeitam as restrições de não gerar variantes degeneradas.

**Alterações sugeridas**

- Aumentar a probabilidade de ocorrência do fault para 0.45, mantendo-a acima do limite mínimo de 0.4.
- Expandir o intervalo de duração do fault para 2000 ms – 5000 ms, de modo que haja maior sobreposição com durações típicas de tráfego normal.
- Ajustar a variação absoluta dos valores analógicos para 0.48 – 0.52, aproximando‑os dos valores típicos observados em tráfego normal.
- Reduzir o intervalo do multiplicador de TrapArea para 1.3 – 1.5, diminuindo a diferença em relação ao comportamento normal.
- Aumentar a probabilidade de pico de TrapArea para 0.40, mantendo‑a acima de 0.35.
- Alterar o status do CB para 1, introduzindo variação que pode confundir o classificador.
- Desativar a incrementação automática do número de sequência no fault (`incrementStNumOnFault: False`) para reduzir a distinção baseada em sequência.
- Mudar o modo de numeração de sequência de `random` para `sequential`, tornando a sequência mais previsível e menos distinta.
- Aumentar o TTL em 1000 ms (ttlMsValues: 9000) para suavizar a diferença de tempo de vida das mensagens.

Essas mudanças devem reduzir a separabilidade do ataque em relação ao tráfego normal, levando a uma diminuição do f1‑score do classificador.

ALTERACOES_APLICAVEIS
fault.prob: 0.45
fault.durationMs.min: 2000
fault.durationMs.max: 5000
cbStatus: 1
incrementStNumOnFault: False
sqnumMode: sequential
ttlMsValues: 9000
analog.deltaAbs.min: 0.48
analog.deltaAbs.max: 0.52
trapArea.multiplier.min: 1.3
trapArea.multiplier.max: 1.5
trapArea.spikeProb: 0.4
