iteration,field,previous_value,current_value
1,analog.deltaAbs.max,0.8,0.5
1,cbStatus,1,0
1,fault.durationMs.max,800,600
1,fault.durationMs.min,50,100
1,fault.prob,0.6,0.4
1,sqnumMode,fast,normal
1,trapArea.multiplier.max,2.5,1.8
1,trapArea.spikeProb,0.5,0.3
1,ttlMsValues,,20
1,ttlMsValues[0],20,
1,ttlMsValues[1],40,
1,ttlMsValues[2],80,
2,analog.deltaAbs.max,0.5,0.4
2,fault.durationMs.max,600,400
2,trapArea.multiplier.max,1.8,1.5
2,trapArea.spikeProb,0.3,0.2
3,analog.deltaAbs.max,0.4,0.5
3,fault.durationMs.max,400,500
3,trapArea.multiplier.max,1.5,1.4
3,trapArea.spikeProb,0.2,0.3
3,ttlMsValues,20,30
4,analog.deltaAbs.max,0.5,0.4
4,fault.durationMs.max,500,1000
4,trapArea.multiplier.max,1.4,1.5
4,trapArea.spikeProb,0.3,0.4
5,analog.deltaAbs.max,0.4,0.5
5,cbStatus,0,1
5,fault.durationMs.max,1000,500
5,trapArea.multiplier.max,1.5,1.3
5,trapArea.spikeProb,0.4,0.3
5,ttlMsValues,30,60
6,analog.deltaAbs.max,0.5,0.4
6,sqnumMode,normal,random
6,trapArea.multiplier.max,1.3,1.4
6,trapArea.spikeProb,0.3,0.4
7,analog.deltaAbs.max,0.4,0.32000000000000006
7,cbStatus,1,0
7,fault.durationMs.max,500,300
7,sqnumMode,random,sequential
7,trapArea.multiplier.max,1.4,1.5
7,trapArea.spikeProb,0.4,0.3
7,ttlMsValues,60,120
8,analog.deltaAbs.max,0.32000000000000006,0.4
8,cbStatus,0,1
8,trapArea.multiplier.max,1.5,1.3
8,trapArea.spikeProb,0.3,0.2
9,analog.deltaAbs.max,0.4,0.35
9,fault.durationMs.min,100,150
9,trapArea.multiplier.max,1.3,1.25
9,trapArea.spikeProb,0.2,0.25
10,analog.deltaAbs.max,0.35,0.32000000000000006
10,fault.durationMs.max,300,400
10,trapArea.multiplier.max,1.25,1.3
10,trapArea.spikeProb,0.25,0.2
11,analog.deltaAbs.max,0.32000000000000006,0.4
11,cbStatus,1,0
11,fault.durationMs.max,400,500
11,fault.durationMs.min,150,200
11,trapArea.multiplier.max,1.3,1.4
11,trapArea.spikeProb,0.2,0.3
11,ttlMsValues,120,150
13,analog.deltaAbs.max,0.4,0.32000000000000006
13,fault.durationMs.max,500,600
13,trapArea.multiplier.max,1.4,1.3
13,trapArea.spikeProb,0.3,0.25
14,analog.deltaAbs.max,0.32000000000000006,0.4
14,cbStatus,0,1
14,fault.durationMs.max,600,400
14,fault.durationMs.min,200,150
14,trapArea.multiplier.max,1.3,1.25
14,trapArea.multiplier.min,1.2,1.1
14,trapArea.spikeProb,0.25,0.3
14,ttlMsValues,150,200
15,analog.deltaAbs.max,0.4,0.32000000000000006
15,cbStatus,1,0
15,sqnumMode,sequential,random
15,trapArea.multiplier.max,1.25,1.3
15,trapArea.spikeProb,0.3,0.25
16,analog.deltaAbs.min,0.2,0.25
17,cbStatus,0,1
17,fault.durationMs.max,400,500
17,fault.durationMs.min,150,200
17,sqnumMode,random,sequential
17,trapArea.multiplier.max,1.3,1.25
17,trapArea.spikeProb,0.25,0.3
17,ttlMsValues,200,150
19,fault.durationMs.max,500,400
19,sqnumMode,sequential,random
19,trapArea.spikeProb,0.3,0.4
20,analog.deltaAbs.max,0.32000000000000006,0.4
20,cbStatus,1,0
20,fault.durationMs.max,400,600
20,trapArea.multiplier.max,1.25,1.5
20,trapArea.spikeProb,0.4,0.3
21,analog.deltaAbs.max,0.4,0.5
21,sqnumMode,random,sequential
21,trapArea.multiplier.max,1.5,1.3
21,trapArea.spikeProb,0.3,0.2
21,ttlMsValues,150,200
22,analog.deltaAbs.max,0.5,0.4
22,cbStatus,0,1
22,fault.durationMs.max,600,400
22,trapArea.multiplier.max,1.3,1.5
22,trapArea.spikeProb,0.2,0.3
22,ttlMsValues,200,250
23,analog.deltaAbs.max,0.4,0.35
23,analog.deltaAbs.min,0.25,0.2
23,cbStatus,1,0
23,fault.durationMs.max,400,300
23,fault.durationMs.min,200,150
23,sqnumMode,sequential,random
23,trapArea.multiplier.max,1.5,1.3
23,trapArea.multiplier.min,1.1,1.0
23,trapArea.spikeProb,0.3,0.25
24,analog.deltaAbs.max,0.35,0.32000000000000006
24,cbStatus,0,1
24,fault.durationMs.max,300,400
24,fault.durationMs.min,150,200
24,trapArea.multiplier.max,1.3,1.4
24,trapArea.spikeProb,0.25,0.3
24,ttlMsValues,250,300
25,analog.deltaAbs.max,0.32000000000000006,0.4
25,cbStatus,1,0
25,trapArea.multiplier.max,1.4,1.6
25,trapArea.spikeProb,0.3,0.2
26,analog.deltaAbs.max,0.4,0.35
26,fault.durationMs.max,400,350
26,fault.durationMs.min,200,250
26,trapArea.multiplier.max,1.6,1.5
26,trapArea.spikeProb,0.2,0.3
26,ttlMsValues,300,350
27,analog.deltaAbs.max,0.35,0.32000000000000006
27,fault.durationMs.max,350,500
27,trapArea.multiplier.max,1.5,1.3
28,sqnumMode,random,sequential
28,trapArea.multiplier.max,1.3,1.5
28,trapArea.spikeProb,0.3,0.25
28,ttlMsValues,350,500
29,fault.prob,0.4,
