iteration,field,previous_value,current_value
1,analog.deltaAbs.max,0.8,0.6
1,analog.deltaAbs.min,0.2,0.1
1,fault.durationMs.max,800,600
1,fault.durationMs.min,50,30
1,fault.prob,0.6,0.5
1,trapArea.multiplier.max,2.5,2.0
1,trapArea.multiplier.min,1.2,1.1
1,trapArea.spikeProb,0.5,0.4
2,analog.deltaAbs.min,0.1,0.2
2,fault.prob,0.5,0.4
2,trapArea.multiplier.max,2.0,1.8
2,trapArea.spikeProb,0.4,0.35
3,analog.deltaAbs.max,0.6,0.55
3,fault.prob,0.4,0.5
3,trapArea.multiplier.min,1.1,1.2
3,trapArea.spikeProb,0.35,0.4
3,ttlMsValues,,25
3,ttlMsValues[0],20,
3,ttlMsValues[1],40,
3,ttlMsValues[2],80,
4,analog.deltaAbs.max,0.55,0.5
4,analog.deltaAbs.min,0.2,0.15
4,cbStatus,1,2
4,fault.prob,0.5,0.6
4,sqnumMode,fast,medium
4,trapArea.multiplier.max,1.8,1.6
4,trapArea.multiplier.min,1.2,1.1
4,trapArea.spikeProb,0.4,0.35
4,ttlMsValues,25,20
5,analog.deltaAbs.max,0.5,0.6
5,analog.deltaAbs.min,0.15,0.1
5,fault.durationMs.max,600,800
5,fault.durationMs.min,30,20
5,fault.prob,0.6,0.5
5,trapArea.multiplier.min,1.1,1.05
5,trapArea.spikeProb,0.35,0.3
6,analog.deltaAbs.max,0.6,0.5
6,analog.deltaAbs.min,0.1,0.05
6,cbStatus,2,1
6,fault.durationMs.max,800,700
6,fault.durationMs.min,20,30
6,fault.prob,0.5,0.4
6,sqnumMode,medium,low
6,trapArea.multiplier.max,1.6,1.5
6,trapArea.spikeProb,0.3,0.35
6,ttlMsValues,20,25
7,analog.deltaAbs.max,0.5,0.4
7,analog.deltaAbs.min,0.05,0.03
7,fault.durationMs.max,700,600
7,fault.durationMs.min,30,20
7,fault.prob,0.4,0.35
7,trapArea.multiplier.max,1.5,1.4
7,trapArea.multiplier.min,1.05,1.02
7,trapArea.spikeProb,0.35,0.3
8,analog.deltaAbs.max,0.4,0.6
8,analog.deltaAbs.min,0.03,0.05
8,fault.durationMs.max,600,800
8,fault.durationMs.min,20,30
8,fault.prob,0.35,0.4
8,sqnumMode,low,medium
8,trapArea.multiplier.max,1.4,1.6
8,trapArea.multiplier.min,1.02,1.05
8,ttlMsValues,25,30
9,analog.deltaAbs.max,0.6,0.55
9,fault.durationMs.max,800,900
9,fault.durationMs.min,30,20
9,fault.prob,0.4,0.35
9,trapArea.multiplier.max,1.6,1.55
9,trapArea.multiplier.min,1.05,1.03
9,trapArea.spikeProb,0.3,0.25
