iteration,evaluation_type,dataset_path,accuracy,precision_masquerade,recall_masquerade,f1_score_masquerade,support_masquerade,attack_label_original,label_column,dataset_rows,dataset_columns
0,baseline_internal_test,outputs/dataset_iteration_0.csv,1.0,1.0,1.0,1.0,9031,masquerade_fake_fault,class,80100,54
1,variant_external_test,outputs/dataset_iteration_1.csv,1.0,1.0,1.0,1.0,20083,masquerade_fake_fault,class,70081,54
2,variant_external_test,outputs/dataset_iteration_2.csv,1.0,1.0,1.0,1.0,19815,masquerade_fake_fault,class,69813,54
3,variant_external_test,outputs/dataset_iteration_3.csv,1.0,1.0,1.0,1.0,20077,masquerade_fake_fault,class,70075,54
4,variant_external_test,outputs/dataset_iteration_4.csv,1.0,1.0,1.0,1.0,20087,masquerade_fake_fault,class,70085,54
5,variant_external_test,outputs/dataset_iteration_5.csv,1.0,1.0,1.0,1.0,19982,masquerade_fake_fault,class,69980,54
6,variant_external_test,outputs/dataset_iteration_6.csv,1.0,1.0,1.0,1.0,20071,masquerade_fake_fault,class,70069,54
7,variant_external_test,outputs/dataset_iteration_7.csv,1.0,1.0,1.0,1.0,19830,masquerade_fake_fault,class,69828,54
8,variant_external_test,outputs/dataset_iteration_8.csv,1.0,1.0,1.0,1.0,20157,masquerade_fake_fault,class,70155,54
9,variant_external_test,outputs/dataset_iteration_9.csv,1.0,1.0,1.0,1.0,19987,masquerade_fake_fault,class,69985,54
10,variant_external_test,outputs/dataset_iteration_10.csv,1.0,1.0,1.0,1.0,19974,masquerade_fake_fault,class,69972,54
