iteration,evaluation_type,dataset_path,accuracy,precision_masquerade,recall_masquerade,f1_score_masquerade,support_masquerade,attack_count,normal_count,tp,fp,fn,tn,attack_label_original,label_column,dataset_rows,dataset_columns,config_changed,attack_count_ratio_vs_baseline,degenerate_variant
0,baseline_internal_test,outputs/dataset_iteration_0.csv,1.0,1.0,1.0,1.0,9024,9024,15000,9024,0,0,15000,masquerade_fake_fault,class,80079,54,False,1.0,False
1,variant_external_test,outputs/dataset_iteration_1.csv,1.0,1.0,1.0,1.0,20034,20034,49998,20034,0,0,49998,masquerade_fake_fault,class,70032,54,True,2.2200797872340425,False
2,variant_external_test,outputs/dataset_iteration_2.csv,1.0,1.0,1.0,1.0,19903,19903,49998,19903,0,0,49998,masquerade_fake_fault,class,69901,54,True,2.2055629432624113,False
3,variant_external_test,outputs/dataset_iteration_3.csv,1.0,1.0,1.0,1.0,19998,19998,49998,19998,0,0,49998,masquerade_fake_fault,class,69996,54,True,2.216090425531915,False
4,variant_external_test,outputs/dataset_iteration_4.csv,1.0,1.0,1.0,1.0,20194,20194,49998,20194,0,0,49998,masquerade_fake_fault,class,70192,54,True,2.2378102836879434,False
5,variant_external_test,outputs/dataset_iteration_5.csv,1.0,1.0,1.0,1.0,20052,20052,49998,20052,0,0,49998,masquerade_fake_fault,class,70050,54,True,2.2220744680851063,False
6,variant_external_test,outputs/dataset_iteration_6.csv,1.0,1.0,1.0,1.0,20028,20028,49998,20028,0,0,49998,masquerade_fake_fault,class,70026,54,True,2.2194148936170213,False
7,variant_external_test,outputs/dataset_iteration_7.csv,1.0,1.0,1.0,1.0,20114,20114,49998,20114,0,0,49998,masquerade_fake_fault,class,70112,54,True,2.2289450354609928,False
8,variant_external_test,outputs/dataset_iteration_8.csv,1.0,1.0,1.0,1.0,20014,20014,49998,20014,0,0,49998,masquerade_fake_fault,class,70012,54,True,2.217863475177305,False
9,variant_external_test,outputs/dataset_iteration_9.csv,1.0,1.0,1.0,1.0,20123,20123,49998,20123,0,0,49998,masquerade_fake_fault,class,70121,54,True,2.229942375886525,False
10,variant_external_test,outputs/dataset_iteration_10.csv,1.0,1.0,1.0,1.0,20068,20068,49998,20068,0,0,49998,masquerade_fake_fault,class,70066,54,True,2.2238475177304964,False
11,variant_external_test,outputs/dataset_iteration_11.csv,1.0,1.0,1.0,1.0,19769,19769,49998,19769,0,0,49998,masquerade_fake_fault,class,69767,54,True,2.1907136524822697,False
12,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
13,variant_external_test,outputs/dataset_iteration_13.csv,1.0,1.0,1.0,1.0,19932,19932,49998,19932,0,0,49998,masquerade_fake_fault,class,69930,54,True,2.208776595744681,False
14,variant_external_test,outputs/dataset_iteration_14.csv,1.0,1.0,1.0,1.0,20147,20147,49998,20147,0,0,49998,masquerade_fake_fault,class,70145,54,True,2.23260195035461,False
15,variant_external_test,outputs/dataset_iteration_15.csv,1.0,1.0,1.0,1.0,19850,19850,49998,19850,0,0,49998,masquerade_fake_fault,class,69848,54,True,2.1996897163120566,False
16,variant_external_test,outputs/dataset_iteration_16.csv,1.0,1.0,1.0,1.0,19839,19839,49998,19839,0,0,49998,masquerade_fake_fault,class,69837,54,True,2.198470744680851,False
17,variant_external_test,outputs/dataset_iteration_17.csv,1.0,1.0,1.0,1.0,20067,20067,49998,20067,0,0,49998,masquerade_fake_fault,class,70065,54,True,2.2237367021276597,False
18,skipped_no_config_change,,,,,,,,,,,,,masquerade_fake_fault,class,,,False,,
19,variant_external_test,outputs/dataset_iteration_19.csv,1.0,1.0,1.0,1.0,19965,19965,49998,19965,0,0,49998,masquerade_fake_fault,class,69963,54,True,2.2124335106382977,False
20,variant_external_test,outputs/dataset_iteration_20.csv,1.0,1.0,1.0,1.0,19994,19994,49998,19994,0,0,49998,masquerade_fake_fault,class,69992,54,True,2.2156471631205674,False
21,variant_external_test,outputs/dataset_iteration_21.csv,0.9999856799175163,1.0,0.9999495815266713,0.9999747901278141,19834,19834,49998,19833,0,1,49998,masquerade_fake_fault,class,69832,54,True,2.1979166666666665,False
22,variant_external_test,outputs/dataset_iteration_22.csv,1.0,1.0,1.0,1.0,19861,19861,49998,19861,0,0,49998,masquerade_fake_fault,class,69859,54,True,2.2009086879432624,False
23,variant_external_test,outputs/dataset_iteration_23.csv,0.9858050483658635,1.0,0.9501156592577693,0.9744198040226921,19886,19886,49998,18894,0,992,49998,masquerade_fake_fault,class,69884,54,True,2.2036790780141846,False
24,variant_external_test,outputs/dataset_iteration_24.csv,0.9995293110825845,1.0,0.9983591885441527,0.9991789206538777,20112,20112,49998,20079,0,33,49998,masquerade_fake_fault,class,70110,54,True,2.228723404255319,False
25,variant_external_test,outputs/dataset_iteration_25.csv,0.998467838936938,1.0,0.9946063111200726,0.9972958629229953,19838,19838,49998,19731,0,107,49998,masquerade_fake_fault,class,69836,54,True,2.198359929078014,False
26,variant_external_test,outputs/dataset_iteration_26.csv,0.9976829669465223,1.0,0.9918670615994779,0.9959169271095877,19919,19919,49998,19757,0,162,49998,masquerade_fake_fault,class,69917,54,True,2.2073359929078014,False
27,variant_external_test,outputs/dataset_iteration_27.csv,0.9874194976366933,1.0,0.9560181718336578,0.9775146116740256,20031,20031,49998,19150,0,881,49998,masquerade_fake_fault,class,70029,54,True,2.219747340425532,False
28,variant_external_test,outputs/dataset_iteration_28.csv,0.9973861997057689,1.0,0.9908568573569823,0.9954074334328807,20015,20015,49998,19832,0,183,49998,masquerade_fake_fault,class,70013,54,True,2.2179742907801416,False
