iteration,field,previous_value,current_value
1,analog.deltaAbs.max,0.8,0.7
1,analog.deltaAbs.min,0.2,0.3
1,fault.durationMs.max,800,1200
1,fault.durationMs.min,50,100
1,fault.prob,0.6,0.5
1,sqnumMode,fast,normal
1,trapArea.multiplier.max,2.5,2.0
1,trapArea.multiplier.min,1.2,1.3
1,trapArea.spikeProb,0.5,0.4
1,ttlMsValues,,20
1,ttlMsValues[0],20,
1,ttlMsValues[1],40,
1,ttlMsValues[2],80,
2,analog.deltaAbs.max,0.7,0.6
2,analog.deltaAbs.min,0.3,0.4
2,fault.durationMs.max,1200,1500
2,fault.durationMs.min,100,200
2,fault.prob,0.5,0.4
2,sqnumMode,normal,random
2,trapArea.multiplier.max,2.0,1.5
2,trapArea.multiplier.min,1.3,1.2
2,trapArea.spikeProb,0.4,0.35
2,ttlMsValues,20,30
3,analog.deltaAbs.max,0.6,0.55
3,analog.deltaAbs.min,0.4,0.45
3,fault.durationMs.max,1500,1400
3,fault.durationMs.min,200,300
3,fault.prob,0.4,0.45
3,trapArea.multiplier.max,1.5,1.4
3,trapArea.multiplier.min,1.2,1.25
3,trapArea.spikeProb,0.35,0.4
4,analog.deltaAbs.max,0.55,0.6
4,analog.deltaAbs.min,0.45,0.4
4,fault.durationMs.max,1400,1200
4,fault.durationMs.min,300,200
4,fault.prob,0.45,0.4
4,trapArea.multiplier.max,1.4,1.35
4,trapArea.multiplier.min,1.25,1.2
4,trapArea.spikeProb,0.4,0.35
5,analog.deltaAbs.max,0.6,0.7
5,analog.deltaAbs.min,0.4,0.5
5,fault.durationMs.max,1200,2000
5,fault.durationMs.min,200,400
5,trapArea.multiplier.max,1.35,1.25
5,trapArea.multiplier.min,1.2,1.15
5,trapArea.spikeProb,0.35,0.4
5,ttlMsValues,30,60
6,analog.deltaAbs.max,0.7,0.8
6,analog.deltaAbs.min,0.5,0.6
6,fault.durationMs.max,2000,2500
6,fault.durationMs.min,400,500
6,fault.prob,0.4,0.35
6,sqnumMode,random,sequential
6,trapArea.multiplier.max,1.25,1.3
6,trapArea.multiplier.min,1.15,1.1
6,trapArea.spikeProb,0.4,0.35
6,ttlMsValues,60,120
7,analog.deltaAbs.max,0.8,0.9
7,analog.deltaAbs.min,0.6,0.7
7,fault.durationMs.max,2500,3500
7,fault.durationMs.min,500,400
7,fault.prob,0.35,0.4
7,sqnumMode,sequential,random
7,trapArea.multiplier.max,1.3,1.4
7,trapArea.multiplier.min,1.1,1.2
7,trapArea.spikeProb,0.35,0.4
7,ttlMsValues,120,200
8,analog.deltaAbs.max,0.9,0.8
8,cbStatus,1,0
8,fault.durationMs.max,3500,4000
8,fault.durationMs.min,400,200
8,trapArea.multiplier.max,1.4,1.25
8,trapArea.multiplier.min,1.2,1.0
8,ttlMsValues,200,300
9,analog.deltaAbs.max,0.8,0.9
9,analog.deltaAbs.min,0.7,0.6
9,cbStatus,0,1
9,fault.durationMs.max,4000,6000
9,fault.prob,0.4,0.45
9,trapArea.multiplier.max,1.25,1.5
9,trapArea.spikeProb,0.4,0.5
9,ttlMsValues,300,500
10,analog.deltaAbs.max,0.9,0.8
10,cbStatus,1,0
10,fault.durationMs.max,6000,4000
10,fault.durationMs.min,200,400
10,sqnumMode,random,sequential
10,trapArea.multiplier.max,1.5,1.3
10,trapArea.spikeProb,0.5,0.3
10,ttlMsValues,500,1000
11,analog.deltaAbs.max,0.8,0.9
11,analog.deltaAbs.min,0.6,0.7
11,cbStatus,0,1
11,fault.durationMs.max,4000,5000
11,fault.durationMs.min,400,800
11,fault.prob,0.45,0.4
11,sqnumMode,sequential,random
11,trapArea.multiplier.max,1.3,1.4
11,trapArea.multiplier.min,1.0,1.1
11,trapArea.spikeProb,0.3,0.25
11,ttlMsValues,1000,1500
12,analog.deltaAbs.max,0.9,0.8
12,analog.deltaAbs.min,0.7,0.6
12,fault.durationMs.max,5000,4500
12,fault.durationMs.min,800,1000
12,fault.prob,0.4,0.45
12,sqnumMode,random,sequential
12,trapArea.multiplier.max,1.4,1.25
12,trapArea.multiplier.min,1.1,1.15
12,trapArea.spikeProb,0.25,0.3
12,ttlMsValues,1500,1800
13,analog.deltaAbs.max,0.8,0.75
13,analog.deltaAbs.min,0.6,0.55
13,cbStatus,1,0
13,fault.durationMs.max,4500,4000
13,fault.durationMs.min,1000,1200
13,fault.prob,0.45,0.4
13,trapArea.multiplier.min,1.15,1.1
13,trapArea.spikeProb,0.3,0.25
14,analog.deltaAbs.max,0.75,0.8
14,analog.deltaAbs.min,0.55,0.6
14,cbStatus,0,1
14,fault.durationMs.max,4000,5000
14,fault.durationMs.min,1200,1500
14,sqnumMode,sequential,random
14,trapArea.multiplier.min,1.1,1.05
14,trapArea.spikeProb,0.25,0.2
14,ttlMsValues,1800,2000
15,analog.deltaAbs.max,0.8,0.7
15,fault.durationMs.max,5000,6000
15,fault.durationMs.min,1500,2000
15,fault.prob,0.4,0.35
15,trapArea.multiplier.min,1.05,1.0
16,analog.deltaAbs.max,0.7,0.65
16,analog.deltaAbs.min,0.6,0.55
16,cbStatus,1,0
16,fault.durationMs.max,6000,8000
16,fault.durationMs.min,2000,3000
16,fault.prob,0.35,0.4
16,sqnumMode,random,sequential
16,trapArea.spikeProb,0.2,0.25
17,analog.deltaAbs.max,0.65,0.6
17,analog.deltaAbs.min,0.55,0.5
17,fault.durationMs.max,8000,8500
17,fault.durationMs.min,3000,3500
17,sqnumMode,sequential,random
17,trapArea.multiplier.min,1.0,1.05
17,trapArea.spikeProb,0.25,0.2
17,ttlMsValues,2000,2500
18,analog.deltaAbs.max,0.6,0.55
18,analog.deltaAbs.min,0.5,0.45
18,fault.durationMs.max,8500,8000
18,fault.durationMs.min,3500,4000
18,fault.prob,0.4,0.45
18,trapArea.multiplier.min,1.05,1.02
19,analog.deltaAbs.max,0.55,0.5
19,analog.deltaAbs.min,0.45,0.4
19,fault.durationMs.max,8000,7000
19,fault.durationMs.min,4000,3000
19,fault.prob,0.45,0.4
19,ttlMsValues,2500,2000
20,analog.deltaAbs.max,0.5,0.55
20,analog.deltaAbs.min,0.4,0.45
20,cbStatus,0,1
20,fault.durationMs.max,7000,7500
20,fault.durationMs.min,3000,3500
20,fault.prob,0.4,0.45
20,sqnumMode,random,sequential
20,trapArea.multiplier.max,1.25,1.4
20,trapArea.multiplier.min,1.02,1.1
20,trapArea.spikeProb,0.2,0.3
20,ttlMsValues,2000,2500
21,analog.deltaAbs.max,0.55,0.56
21,analog.deltaAbs.min,0.45,0.44
21,cbStatus,1,0
21,fault.durationMs.max,7500,8000
21,fault.durationMs.min,3500,2500
21,fault.prob,0.45,0.55
21,sqnumMode,sequential,random
21,trapArea.multiplier.max,1.4,1.6
21,trapArea.multiplier.min,1.1,1.2
21,ttlMsValues,2500,3500
22,analog.deltaAbs.max,0.56,0.52
22,analog.deltaAbs.min,0.44,0.48
22,fault.durationMs.max,8000,7000
22,fault.durationMs.min,2500,3000
22,sqnumMode,random,sequential
22,trapArea.multiplier.max,1.6,1.25
22,trapArea.multiplier.min,1.2,1.0
22,ttlMsValues,3500,4000
23,analog.deltaAbs.max,0.52,0.51
23,analog.deltaAbs.min,0.48,0.49
23,fault.durationMs.max,7000,8000
23,fault.durationMs.min,3000,4000
23,fault.prob,0.55,0.5
23,sqnumMode,sequential,random
23,trapArea.spikeProb,0.3,0.2
23,ttlMsValues,4000,5000
24,analog.deltaAbs.max,0.51,0.52
24,analog.deltaAbs.min,0.49,0.48
24,fault.durationMs.max,8000,4000
24,fault.durationMs.min,4000,2000
24,fault.prob,0.5,0.45
24,trapArea.multiplier.max,1.25,1.4
24,trapArea.multiplier.min,1.0,1.1
24,trapArea.spikeProb,0.2,0.25
24,ttlMsValues,5000,6000
25,analog.deltaAbs.max,0.52,0.51
25,analog.deltaAbs.min,0.48,0.49
25,fault.durationMs.max,4000,4500
25,fault.durationMs.min,2000,2500
25,fault.prob,0.45,0.4
25,trapArea.multiplier.max,1.4,1.6
25,trapArea.multiplier.min,1.1,1.2
25,trapArea.spikeProb,0.25,0.35
25,ttlMsValues,6000,8000
26,analog.deltaAbs.max,0.51,0.52
26,analog.deltaAbs.min,0.49,0.48
26,cbStatus,0,1
26,fault.durationMs.max,4500,5000
26,fault.durationMs.min,2500,2000
26,fault.prob,0.4,0.45
26,sqnumMode,random,sequential
26,trapArea.multiplier.max,1.6,1.5
26,trapArea.multiplier.min,1.2,1.3
26,trapArea.spikeProb,0.35,0.4
26,ttlMsValues,8000,9000
27,analog.deltaAbs.max,0.52,0.51
27,analog.deltaAbs.min,0.48,0.49
27,cbStatus,1,0
27,fault.durationMs.max,5000,4000
27,fault.durationMs.min,2000,3000
27,trapArea.multiplier.max,1.5,1.45
27,trapArea.multiplier.min,1.3,1.35
27,trapArea.spikeProb,0.4,0.35
28,analog.deltaAbs.max,0.51,0.52
28,fault.durationMs.max,4000,3500
28,fault.durationMs.min,3000,2500
28,fault.prob,0.45,0.5
28,sqnumMode,sequential,random
28,trapArea.multiplier.max,1.45,1.3
28,trapArea.multiplier.min,1.35,1.2
28,trapArea.spikeProb,0.35,0.3
28,ttlMsValues,9000,8000
29,analog.deltaAbs.max,0.52,0.51
29,fault.durationMs.max,3500,3400
29,fault.durationMs.min,2500,2600
29,fault.prob,0.5,0.4
29,sqnumMode,random,sequential
29,trapArea.multiplier.max,1.3,1.25
29,trapArea.multiplier.min,1.2,1.15
29,trapArea.spikeProb,0.3,0.25
29,ttlMsValues,8000,7000
30,analog.deltaAbs.max,0.51,0.52
30,analog.deltaAbs.min,0.49,0.48
30,cbStatus,0,1
30,fault.durationMs.max,3400,3000
30,fault.durationMs.min,2600,2000
30,fault.prob,0.4,0.5
30,sqnumMode,sequential,random
30,trapArea.multiplier.max,1.25,1.3
30,trapArea.multiplier.min,1.15,1.1
30,trapArea.spikeProb,0.25,0.3
30,ttlMsValues,7000,6000
